id = 84153, departureTime = 2024-08-01 15:52, from = Tokyo, to = Rome, freeSeats = 100
id = 98122, departureTime = 2024-08-01 02:52, from = Berlin, to = London, freeSeats = 100
id = 22187, departureTime = 2024-07-31 22:52, from = Tokyo, to = Kyiv, freeSeats = 100
id = 74969, departureTime = 2024-08-02 04:52, from = Kyiv, to = Paris, freeSeats = 100
id = 33114, departureTime = 2024-07-31 23:52, from = Tokyo, to = New York, freeSeats = 100
id = 94440, departureTime = 2024-08-01 01:52, from = Paris, to = Kyiv, freeSeats = 100
id = 22593, departureTime = 2024-08-01 10:52, from = Rome, to = Paris, freeSeats = 100
id = 15678, departureTime = 2024-08-01 00:52, from = London, to = Paris, freeSeats = 100
id = 80196, departureTime = 2024-08-01 21:52, from = Rome, to = Paris, freeSeats = 100
id = 16844, departureTime = 2024-08-02 09:52, from = Rome, to = Berlin, freeSeats = 100
id = 65668, departureTime = 2024-08-01 05:52, from = Kyiv, to = New York, freeSeats = 100
id = 67792, departureTime = 2024-08-01 12:52, from = Tokyo, to = London, freeSeats = 100
id = 53585, departureTime = 2024-08-02 08:52, from = Rome, to = Berlin, freeSeats = 100
id = 54416, departureTime = 2024-07-31 22:52, from = Tokyo, to = London, freeSeats = 100
id = 52838, departureTime = 2024-08-02 13:52, from = Kyiv, to = London, freeSeats = 100
id = 17857, departureTime = 2024-08-01 08:52, from = Tokyo, to = Rome, freeSeats = 100
id = 32584, departureTime = 2024-08-01 00:52, from = London, to = New York, freeSeats = 100
id = 72838, departureTime = 2024-08-01 08:52, from = London, to = Berlin, freeSeats = 100
id = 19013, departureTime = 2024-08-01 14:52, from = Tokyo, to = New York, freeSeats = 100
id = 34988, departureTime = 2024-08-02 02:52, from = Berlin, to = Berlin, freeSeats = 100
id = 99436, departureTime = 2024-08-01 15:52, from = Kyiv, to = Tokyo, freeSeats = 100
id = 90179, departureTime = 2024-08-01 04:52, from = Rome, to = Tokyo, freeSeats = 100
id = 90809, departureTime = 2024-08-01 04:52, from = Tokyo, to = London, freeSeats = 100
id = 15558, departureTime = 2024-08-02 11:52, from = Paris, to = Tokyo, freeSeats = 100
id = 49627, departureTime = 2024-08-02 10:52, from = Tokyo, to = Rome, freeSeats = 100
id = 12156, departureTime = 2024-08-01 10:52, from = Berlin, to = Tokyo, freeSeats = 100
id = 97785, departureTime = 2024-08-02 16:52, from = Paris, to = Berlin, freeSeats = 100
id = 30865, departureTime = 2024-07-31 22:52, from = Paris, to = Kyiv, freeSeats = 100
id = 13326, departureTime = 2024-08-02 13:52, from = Kyiv, to = Berlin, freeSeats = 100
id = 60735, departureTime = 2024-08-02 08:52, from = London, to = Kyiv, freeSeats = 100
id = 12746, departureTime = 2024-08-01 21:52, from = Paris, to = New York, freeSeats = 100
id = 98691, departureTime = 2024-08-01 12:52, from = London, to = Rome, freeSeats = 100
id = 24503, departureTime = 2024-07-31 18:52, from = Kyiv, to = New York, freeSeats = 100
id = 46671, departureTime = 2024-07-31 20:52, from = Berlin, to = Rome, freeSeats = 100
id = 41065, departureTime = 2024-08-01 15:52, from = New York, to = Paris, freeSeats = 100
id = 81993, departureTime = 2024-08-01 21:52, from = Tokyo, to = Kyiv, freeSeats = 100
id = 37017, departureTime = 2024-08-02 14:52, from = Tokyo, to = Rome, freeSeats = 100
id = 60976, departureTime = 2024-08-01 15:52, from = Berlin, to = New York, freeSeats = 100
id = 96345, departureTime = 2024-08-02 08:52, from = Rome, to = Tokyo, freeSeats = 100
id = 18416, departureTime = 2024-08-02 09:52, from = Berlin, to = Kyiv, freeSeats = 100
id = 94002, departureTime = 2024-08-01 16:52, from = London, to = Berlin, freeSeats = 100
id = 92791, departureTime = 2024-08-01 05:52, from = New York, to = Tokyo, freeSeats = 100
id = 77499, departureTime = 2024-08-01 08:52, from = Rome, to = Berlin, freeSeats = 100
id = 28318, departureTime = 2024-07-31 20:52, from = Tokyo, to = Paris, freeSeats = 100
id = 29757, departureTime = 2024-08-02 07:52, from = Berlin, to = Tokyo, freeSeats = 100
id = 90848, departureTime = 2024-08-02 10:52, from = Kyiv, to = Rome, freeSeats = 100
id = 56952, departureTime = 2024-08-02 16:52, from = Tokyo, to = Tokyo, freeSeats = 100
id = 60939, departureTime = 2024-08-02 06:52, from = Berlin, to = London, freeSeats = 100
id = 80427, departureTime = 2024-08-02 14:52, from = New York, to = Rome, freeSeats = 100
id = 40419, departureTime = 2024-08-02 07:52, from = Paris, to = Tokyo, freeSeats = 100
id = 84677, departureTime = 2024-08-02 09:52, from = Rome, to = Rome, freeSeats = 100
id = 81260, departureTime = 2024-08-02 10:52, from = Paris, to = Berlin, freeSeats = 100
id = 86253, departureTime = 2024-08-01 07:52, from = Tokyo, to = Tokyo, freeSeats = 100
id = 55595, departureTime = 2024-08-01 11:52, from = Paris, to = Rome, freeSeats = 100
id = 19918, departureTime = 2024-08-01 07:52, from = New York, to = New York, freeSeats = 100
id = 58445, departureTime = 2024-08-01 23:52, from = Rome, to = Paris, freeSeats = 100
id = 12401, departureTime = 2024-08-02 17:52, from = Paris, to = Rome, freeSeats = 100
id = 77836, departureTime = 2024-08-01 21:52, from = Tokyo, to = Berlin, freeSeats = 100
id = 61245, departureTime = 2024-08-02 13:52, from = Rome, to = New York, freeSeats = 100
id = 63913, departureTime = 2024-07-31 18:52, from = Paris, to = Kyiv, freeSeats = 100
id = 38937, departureTime = 2024-08-02 08:52, from = London, to = Paris, freeSeats = 100
id = 24112, departureTime = 2024-08-02 06:52, from = Kyiv, to = Tokyo, freeSeats = 100
id = 53241, departureTime = 2024-08-01 19:52, from = London, to = Rome, freeSeats = 100
id = 17404, departureTime = 2024-08-02 04:52, from = Kyiv, to = Paris, freeSeats = 100
id = 81697, departureTime = 2024-08-02 08:52, from = Paris, to = Tokyo, freeSeats = 100
id = 21814, departureTime = 2024-08-01 04:52, from = New York, to = Rome, freeSeats = 100
id = 81666, departureTime = 2024-08-01 04:52, from = Rome, to = Paris, freeSeats = 100
id = 84323, departureTime = 2024-08-01 07:52, from = Tokyo, to = Kyiv, freeSeats = 100
id = 15158, departureTime = 2024-08-01 21:52, from = London, to = Paris, freeSeats = 100
id = 49740, departureTime = 2024-08-01 02:52, from = Berlin, to = Tokyo, freeSeats = 100
id = 23501, departureTime = 2024-08-01 14:52, from = Kyiv, to = Paris, freeSeats = 100
